event_index,bid_price_fp,bid_qty_fp,ask_price_fp,ask_qty_fp
1000,4226101990,69000,4229857000,41000
2000,4226101990,69000,4231834000,19000
3000,4226101990,69000,4233059000,4829000
4000,4226101990,69000,4237651000,814000
5000,4226101990,69000,4238526000,18000
6000,4226101990,69000,4242454000,28000
7000,4226101990,69000,4243118000,5999000
8000,4226101990,69000,4242007000,59000
9000,4226101990,69000,4243799000,1349000
10000,4226101990,69000,4247381000,82000
11000,4226101990,69000,4246223000,23000
12000,4226101990,69000,4247158000,62000
13000,4226101990,69000,4249294000,22000
14000,4226101990,69000,4252498000,1175000
15000,4226101990,69000,4254698000,239000
16000,4226101990,69000,4248000000,106092000
17000,4226101990,69000,4245885000,30000
18000,4226101990,69000,4244645000,1172000
19000,4226101990,69000,4248042000,47000
20000,4226101990,69000,4249545000,77000
21000,4226101990,69000,4244350000,62000
22000,4226101990,69000,4241574000,100000
23000,4226101990,69000,4240344000,366000
24000,4226101990,69000,4237789000,53000
25000,4226101990,69000,4237311000,14000
26000,4226101990,69000,4236004000,62000
27000,4226101990,69000,4237174000,62000
28000,4226101990,69000,4241984000,62000
29000,4226101990,69000,4244374000,101000
30000,4226101990,69000,4241935000,510000
31000,4226101990,69000,4241567000,13000
32000,4226101990,69000,4246325000,46000
33000,4226101990,69000,4243311000,12000
34000,4226101990,69000,4244134000,103000
35000,4226101990,69000,4245754000,62000
36000,4226101990,69000,4248682000,235000
37000,4226101990,69000,4245547000,183000
38000,4226101990,69000,4246529000,471000
39000,4226101990,69000,4243996000,23569000
40000,4226101990,69000,4244899000,11800000
41000,4226101990,69000,4245280000,15209000
42000,4226101990,69000,4247110000,147000
43000,4226101990,69000,4249570000,188000
44000,4226101990,69000,4249899000,36000
45000,4226101990,69000,4249680000,62000
46000,4226101990,69000,4248696000,31000
47000,4226101990,69000,4251110000,106000
48000,4226101990,69000,4250268000,260000
49000,4226101990,69000,4254490000,97000
50000,4226101990,69000,4256580000,35000
51000,4226101990,69000,4259300000,62000
52000,4226101990,69000,4262152000,100000
53000,4226101990,69000,4262000000,116000
54000,4226101990,69000,4264200000,169000
55000,4226101990,69000,4266944000,62000
56000,4226101990,69000,4268322000,62000
57000,4226101990,69000,4270833000,71000
58000,4226101990,69000,4271293000,1473000
59000,4226101990,69000,4269233000,1419000
60000,4226101990,69000,4270135000,198000
61000,4226101990,69000,4273297000,448000
62000,4226101990,69000,4277452000,70480000
63000,4226101990,69000,4273997000,500000
64000,4226101990,69000,4272961000,12000
65000,4226101990,69000,4271625000,115000
66000,4226101990,69000,4268920000,62000
67000,4226101990,69000,4274301000,18000
68000,4226101990,69000,4271349000,158000
69000,4226101990,69000,4269751000,214000
70000,4226101990,69000,4269492000,150000
71000,4226101990,69000,4268221000,50000000
72000,4226101990,69000,4269932000,166000
73000,4226101990,69000,4269102000,62000
74000,4226101990,69000,4266807000,47000
75000,4226101990,69000,4265032000,957000
76000,4226101990,69000,4262550000,62000
77000,4226101990,69000,4262524000,2423000
78000,4226101990,69000,4259779000,224000
79000,4226101990,69000,4258052000,210000
80000,4226101990,69000,4254981000,1580000
81000,4226101990,69000,4257109000,110000
82000,4226101990,69000,4255110000,206000
83000,4226101990,69000,4255111000,174000
84000,4226101990,69000,4255662000,33000
85000,4226101990,69000,4253798000,158000
86000,4226101990,69000,4254981000,1174000
87000,4226101990,69000,4254601000,120000
88000,4226101990,69000,4254256000,62000
89000,4226101990,69000,4257822000,144000
90000,4226101990,69000,4260624000,225000
91000,4226101990,69000,4257821000,10921000
92000,4226101990,69000,4257234000,34000
93000,4226101990,69000,4254021000,20000
94000,4226101990,69000,4253574000,143000
95000,4226101990,69000,4252940000,13000
96000,4226101990,69000,4251162000,62000
97000,4226101990,69000,4257532000,62000
98000,4226101990,69000,4256655000,413000
99000,4226101990,69000,4258109000,104000
100000,4226101990,69000,4257508000,396000
101000,4226101990,69000,4258664000,36000
102000,4226101990,69000,4255621000,48000
103000,4226101990,69000,4255218000,62000
104000,4226101990,69000,4254484000,45000
105000,4226101990,69000,4253939000,54000
106000,4226101990,69000,4249331000,24000
107000,4226101990,69000,4247367000,1495000
108000,4226101990,69000,4247054000,128000
109000,4226101990,69000,4246361000,151000
110000,4226101990,69000,4244566000,1494000
111000,4226101990,69000,4244741000,686000
112000,4226101990,69000,4242733000,248000
113000,4226101990,69000,4245896000,3117000
114000,4226101990,69000,4243169000,121000
115000,4226101990,69000,4240202000,45000
116000,4226101990,69000,4242019000,67000
117000,4226101990,69000,4238282000,1584000
118000,4226101990,69000,4236150000,205000
119000,4226101990,69000,4233758000,472000
120000,4226101990,69000,4231199000,24000
121000,4224971990,69000,4224972000,14000
122000,4223007990,69000,4231921000,211000
123000,4223007990,69000,4227201000,48000
124000,4223007990,69000,4230206000,62000
125000,4223007990,69000,4233686000,587000
126000,4223007990,69000,4234208000,14000
127000,4223007990,69000,4232546000,62000
128000,4223007990,69000,4232581000,663000
129000,4223007990,69000,4233092000,62000
130000,4223007990,69000,4233612000,118000
131000,4223007990,69000,4236938000,1287000
132000,4223007990,69000,4237287000,216000
133000,4223007990,69000,4236523000,188000
134000,4223007990,69000,4233977000,34000
135000,4223007990,69000,4231350000,62000
136000,4223007990,69000,4228438000,113000
137000,4223007990,69000,4226124000,62000
138000,4223007990,69000,4226368000,11938000
139000,4223007990,69000,4225890000,62000
140000,4223007990,69000,4224668000,62000
141000,4222328990,69000,4224004000,2355000
142000,4220945990,69000,4222276000,62000
143000,4220945990,69000,4227761000,31000
144000,4220945990,69000,4229721000,35000
145000,4220945990,69000,4227895000,47000
146000,4220945990,69000,4231219000,201000
147000,4220945990,69000,4229085000,3589000
148000,4220945990,69000,4232598000,62000
149000,4220945990,69000,4232524000,47000
150000,4220945990,69000,4232936000,62000
151000,4220945990,69000,4233852000,12431000
152000,4220945990,69000,4231298000,62000
153000,4220945990,69000,4233110000,17000
154000,4220945990,69000,4235224000,52000
155000,4220945990,69000,4234547000,1490000
156000,4220945990,69000,4235575000,36000
157000,4220945990,69000,4236471000,50000
158000,4220945990,69000,4239600000,186000
159000,4220945990,69000,4239998000,171000
160000,4220945990,69000,4240044000,139000
161000,4220945990,69000,4236800000,150000
162000,4220945990,69000,4232654000,272000
163000,4220945990,69000,4234751000,331000
164000,4220945990,69000,4234422000,36000
165000,4220945990,69000,4234562000,225000
166000,4220945990,69000,4235199000,11193000
167000,4220945990,69000,4233796000,100000
168000,4220945990,69000,4235600000,98000
169000,4220945990,69000,4234199000,192000
170000,4220945990,69000,4234518000,517000
171000,4220945990,69000,4229834000,189000
172000,4220945990,69000,4230759000,123000
173000,4220945990,69000,4230661000,1891000
174000,4220945990,69000,4232078000,87000
175000,4220945990,69000,4228657000,229000
176000,4220945990,69000,4228000000,222000
177000,4220945990,69000,4228490000,62000
178000,4220945990,69000,4229400000,61000
179000,4220945990,69000,4225658000,535000
180000,4220945990,69000,4223436000,6045000
181000,4220945990,69000,4221725000,117000
182000,4220945990,69000,4224202000,208000
183000,4220653990,69000,4220654000,3358000
184000,4218076990,69000,4221467000,163000
185000,4218076990,69000,4223159000,242000
186000,4218076990,69000,4223498000,491000
187000,4218076990,69000,4227476000,62000
188000,4218076990,69000,4230108000,240000
189000,4218076990,69000,4228231000,2157000
190000,4218076990,69000,4226488000,62000
191000,4218076990,69000,4230671000,6912000
192000,4218076990,69000,4234302000,236000
193000,4218076990,69000,4229298000,163000
194000,4218076990,69000,4231116000,32000
195000,4218076990,69000,4232109000,183000
196000,4218076990,69000,4232020000,67000
197000,4218076990,69000,4234678000,188000
198000,4218076990,69000,4234964000,157000
199000,4218076990,69000,4236129000,198000
200000,4218076990,69000,4236129000,3287000
